station_id,datetime_utc,o3_value,units
5610,2022-07-11T14:30:00Z,0.014,ppm
5610,2022-07-11T15:30:00Z,0.0128,ppm
5610,2022-07-11T16:30:00Z,0.0132,ppm
5610,2022-07-11T17:30:00Z,0.0135,ppm
5610,2022-07-11T18:30:00Z,0.0127,ppm
5610,2022-07-11T19:30:00Z,0.0136,ppm
5610,2022-07-11T20:30:00Z,0.0127,ppm
5610,2022-07-11T21:30:00Z,0.013,ppm
5610,2022-07-11T22:30:00Z,0.0133,ppm
5610,2022-07-11T23:30:00Z,0.0132,ppm
5610,2022-07-12T00:30:00Z,0.0132,ppm
5610,2022-07-12T01:30:00Z,0.0133,ppm
5610,2022-07-12T02:30:00Z,0.013,ppm
5610,2022-07-12T03:30:00Z,0.0129,ppm
5610,2022-07-12T04:30:00Z,0.0133,ppm
5610,2022-07-12T05:30:00Z,0.0133,ppm
5610,2022-07-12T06:30:00Z,0.0113,ppm
5610,2022-07-12T07:30:00Z,0.0121,ppm
5610,2022-07-12T08:30:00Z,0.0136,ppm
5610,2022-07-12T09:30:00Z,0.00732,ppm
5610,2022-07-12T10:30:00Z,0.0119,ppm
5610,2022-07-12T11:30:00Z,0.0119,ppm
5610,2022-07-12T12:30:00Z,0.0287,ppm
5610,2022-07-12T13:30:00Z,0.00943,ppm
5610,2022-07-12T14:30:00Z,0.00717,ppm
5610,2022-07-12T15:30:00Z,0.0131,ppm
5610,2022-07-12T16:30:00Z,0.0134,ppm
5610,2022-07-12T17:30:00Z,0.0126,ppm
5610,2022-07-12T18:30:00Z,0.0131,ppm
5610,2022-07-12T19:30:00Z,0.0069,ppm
5610,2022-07-12T20:30:00Z,0.0131,ppm
5610,2022-07-12T21:30:00Z,0.0132,ppm
5610,2022-07-12T22:30:00Z,0.0102,ppm
5610,2022-07-12T23:30:00Z,0.0132,ppm
5610,2022-07-13T00:30:00Z,0.00855,ppm
5610,2022-07-13T01:30:00Z,0.0127,ppm
5610,2022-07-13T02:30:00Z,0.0132,ppm
5610,2022-07-13T03:30:00Z,0.0137,ppm
5610,2022-07-13T04:30:00Z,0.0133,ppm
5610,2022-07-13T05:30:00Z,0.0133,ppm
5610,2022-07-13T06:30:00Z,0.00876,ppm
5610,2022-07-13T07:30:00Z,0.0,ppm
5610,2022-07-13T09:30:00Z,,ppm
5610,2022-07-13T10:30:00Z,0.036,ppm
5610,2022-07-13T11:30:00Z,0.0129,ppm
5610,2022-07-13T12:30:00Z,0.0129,ppm
5610,2022-07-13T13:30:00Z,0.0134,ppm
5610,2022-07-13T14:30:00Z,0.00786,ppm
5610,2022-07-13T15:30:00Z,0.0134,ppm
5610,2022-07-13T16:30:00Z,0.0131,ppm
5610,2022-07-13T17:30:00Z,0.0138,ppm
5610,2022-07-13T18:30:00Z,0.0128,ppm
5610,2022-07-13T19:30:00Z,0.0134,ppm
5610,2022-07-13T20:30:00Z,0.00767,ppm
5610,2022-07-13T21:30:00Z,0.0126,ppm
5610,2022-07-13T22:30:00Z,0.0129,ppm
5610,2022-07-13T23:30:00Z,0.0137,ppm
5610,2022-07-14T00:30:00Z,0.0075,ppm
5610,2022-07-14T01:30:00Z,0.0133,ppm
